https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1662249600000,2022-09-04 00:00:00,EOS/USD,1.51764999,1.5327,1.5124,1.52452079,27179.03918851339,17827.92295572
1662246000000,2022-09-03 23:00:00,EOS/USD,1.52810555,1.5332,1.5175,1.5175,13590.773536786675,8956.02868981
1662242400000,2022-09-03 22:00:00,EOS/USD,1.5205,1.52860344,1.517,1.5261,5516.266122209379,3614.61642239
1662238800000,2022-09-03 21:00:00,EOS/USD,1.5128,1.5178,1.512,1.5178,4278.11160260385,2818.62669825
1662235200000,2022-09-03 20:00:00,EOS/USD,1.51605676,1.5208,1.5122,1.5135,10867.248109155391,7180.21018114
1662231600000,2022-09-03 19:00:00,EOS/USD,1.5243,1.5381,1.51595718,1.51595718,18652.84888775068,12304.33757222
1662228000000,2022-09-03 18:00:00,EOS/USD,1.5269,1.5317,1.5199,1.5258,11730.893827280137,7688.35615892
1662224400000,2022-09-03 17:00:00,EOS/USD,1.5171,1.525,1.51585761,1.525,14466.21561591575,9486.04302683
1662220800000,2022-09-03 16:00:00,EOS/USD,1.5216,1.5343,1.5183,1.5191,28653.344632501678,18862.05294747
1662217200000,2022-09-03 15:00:00,EOS/USD,1.5223,1.5272,1.5115,1.5193,24331.406585790817,16014.87960626
1662213600000,2022-09-03 14:00:00,EOS/USD,1.5258,1.5319,1.5178,1.5241,18886.084426151207,12391.63075005
1662210000000,2022-09-03 13:00:00,EOS/USD,1.5428,1.5442,1.5243,1.52720936,53953.02490791667,35327.85112574
1662206400000,2022-09-03 12:00:00,EOS/USD,1.52501867,1.5451,1.5177,1.5418,48727.36067268589,31604.20331605
1662202800000,2022-09-03 11:00:00,EOS/USD,1.5292009,1.52999751,1.5141,1.52591486,47451.908503634695,31097.35002098
1662199200000,2022-09-03 10:00:00,EOS/USD,1.5294,1.5378,1.524,1.5312,19168.33652150155,12518.50608771
1662195600000,2022-09-03 09:00:00,EOS/USD,1.5391,1.5446,1.5277,1.5281,481666.05494999536,315205.8470977
1662192000000,2022-09-03 08:00:00,EOS/USD,1.5338,1.5481,1.5157,1.5403,39312.78222805656,25522.80869185
1662188400000,2022-09-03 07:00:00,EOS/USD,1.5652,1.5679,1.521,1.5317,136465.49897335778,89094.14309157
1662184800000,2022-09-03 06:00:00,EOS/USD,1.5825,1.6011,1.5648,1.565646,376277.1667424351,240333.48965375
1662181200000,2022-09-03 05:00:00,EOS/USD,1.5543,1.583,1.5543,1.5811,169156.4002852506,106986.52854674
1662177600000,2022-09-03 04:00:00,EOS/USD,1.551,1.5608,1.5256,1.55299975,130407.36745285154,83971.27395085
1662174000000,2022-09-03 03:00:00,EOS/USD,1.5237,1.5546,1.5094,1.55070948,88956.22959983263,57364.85830978
1662170400000,2022-09-03 02:00:00,EOS/USD,1.5216,1.5285,1.51486184,1.5246,20860.258185885887,13682.44666528
1662166800000,2022-09-03 01:00:00,EOS/USD,1.5242,1.53756535,1.5166,1.5215,52856.31519717501,34739.60906814
1662163200000,2022-09-03 00:00:00,EOS/USD,1.5463,1.5763,1.5179,1.5244,138339.61514966938,90750.20673686
1662159600000,2022-09-02 23:00:00,EOS/USD,1.547,1.5571,1.53826238,1.54831964,41252.20950137172,26643.2127034
1662156000000,2022-09-02 22:00:00,EOS/USD,1.5232,1.5644,1.5232,1.54812049,123810.84662232274,79974.9421457
1662152400000,2022-09-02 21:00:00,EOS/USD,1.5034,1.52581529,1.4989,1.5235,16972.484432187186,11140.45581371
1662148800000,2022-09-02 20:00:00,EOS/USD,1.4934,1.5009,1.4899,1.5009,17713.914489398332,11802.19500926
1662145200000,2022-09-02 19:00:00,EOS/USD,1.5132,1.5192,1.4842,1.4934,85918.59385495125,57532.20426875
1662141600000,2022-09-02 18:00:00,EOS/USD,1.5121,1.5198,1.5048,1.5132,26554.50791553534,17548.57779245
1662138000000,2022-09-02 17:00:00,EOS/USD,1.52629139,1.5263,1.5054,1.5121,44335.9617151691,29320.78679662
1662134400000,2022-09-02 16:00:00,EOS/USD,1.5567,1.5579,1.5227,1.52659047,67540.79831690271,44242.90577217
1662130800000,2022-09-02 15:00:00,EOS/USD,1.5552,1.5589,1.544,1.5566,53678.66206971401,34484.55741341
1662127200000,2022-09-02 14:00:00,EOS/USD,1.5478,1.5644,1.5364,1.55452308,92736.6002312948,59655.9815833
1662123600000,2022-09-02 13:00:00,EOS/USD,1.55844676,1.5729,1.5467,1.5467,72365.39701050591,46786.96386533
1662120000000,2022-09-02 12:00:00,EOS/USD,1.55147165,1.5921,1.5434,1.559,125156.63948459737,80280.07664182
1662116400000,2022-09-02 11:00:00,EOS/USD,1.5072,1.558,1.5058,1.5516,125273.68272809191,80738.38794025
1662112800000,2022-09-02 10:00:00,EOS/USD,1.5198,1.5239,1.5029,1.5074,28906.21724212119,19176.20886435
1662109200000,2022-09-02 09:00:00,EOS/USD,1.5125,1.5221,1.5053,1.5198,53955.55939748523,35501.74983385
1662105600000,2022-09-02 08:00:00,EOS/USD,1.5303,1.53223793,1.5109,1.5133,44610.66848629834,29479.06461792
